ら戳,秨絃计,程蔼计,程计,Μ絃计
98/10/21,7751.75,7774.4,7675.61,7701.5
98/10/22,7692.75,7710.82,7577.89,7607.93
98/10/23,7651.64,7671.91,7614.75,7649.28
98/10/26,7701.19,7751.68,7658.22,7668.4
98/10/27,7635.09,7657.34,7586.53,7657.34
98/10/28,7637.44,7675.15,7533.95,7533.95
98/10/29,7417.13,7426.47,7233.63,7355.69
98/10/30,7428.72,7433.21,7340.08,7340.08
98/11/02,7238.3,7336.65,7218.89,7335.18
98/11/03,7339.36,7368.28,7314.97,7322.93
98/11/04,7375.82,7467.04,7365.26,7467.04
98/11/05,7471.61,7481.58,7412.74,7417.46
98/11/06,7516.4,7521.01,7450.68,7463.05
98/11/09,7562.59,7562.59,7512.5,7536.7
98/11/10,7613.34,7614.54,7576.28,7593.49
98/11/11,7603.68,7670.76,7555.83,7668.06
98/11/12,7682.75,7709.89,7658.6,7670.93
98/11/13,7651.13,7695.11,7639.57,7665.63
98/11/16,7701.97,7792.68,7699.32,7792.68
98/11/17,7875.48,7875.48,7733.21,7733.21
98/11/18,7766.68,7803.36,7737.59,7766.69
98/11/19,7767.98,7797.41,7751.06,7759.98
98/11/20,7741.72,7741.72,7649.19,7682.97
98/11/23,7694.9,7714.7,7671.54,7687.15
98/11/24,7723.13,7735.91,7696.1,7714.56
98/11/25,7718.78,7784.28,7716.36,7756.31
98/11/26,7795.26,7818.0,7733.75,7739.16
98/11/27,7614.41,7633.5,7490.91,7490.91
98/11/30,7582.69,7604.55,7569.24,7582.21
98/12/01,7615.95,7659.82,7549.01,7649.23
98/12/02,7715.64,7741.85,7671.99,7677.62
98/12/03,7733.51,7738.03,7658.51,7684.67
98/12/04,7685.14,7707.11,7650.77,7650.91
98/12/07,7704.69,7783.2,7704.69,7775.64
98/12/08,7802.27,7802.27,7731.01,7768.71
98/12/09,7747.6,7797.42,7742.92,7797.42
98/12/10,7822.66,7829.41,7631.06,7677.91
98/12/11,7709.96,7795.07,7700.76,7795.07
98/12/14,7793.14,7841.51,7770.2,7819.13
98/12/15,7838.53,7846.78,7792.56,7807.62
98/12/16,7801.3,7801.3,7724.58,7751.6
98/12/17,7804.7,7836.43,7728.88,7742.17
98/12/18,7690.44,7753.63,7688.0,7753.63
98/12/21,7797.65,7827.14,7787.27,7787.27
98/12/22,7850.05,7871.59,7823.34,7856.0
98/12/23,7892.75,7910.88,7873.22,7901.5
98/12/24,7935.34,7988.15,7928.09,7963.54
98/12/25,8007.5,8009.0,7965.37,7972.59
98/12/28,8007.54,8079.62,8007.54,8057.49
98/12/29,8088.01,8088.01,8031.49,8053.83
98/12/30,8078.91,8118.63,8060.33,8112.28
98/12/31,8155.17,8188.8,8138.58,8188.11
99/01/04,8222.42,8240.45,8143.45,8207.85
99/01/05,8277.71,8283.64,8162.54,8211.4
99/01/06,8237.1,8327.87,8216.92,8327.62
99/01/07,8344.56,8369.55,8233.59,8237.42
99/01/08,8266.87,8290.66,8178.93,8280.9
99/01/11,8291.52,8357.9,8281.72,8323.82
99/01/12,8343.73,8356.97,8262.58,8309.37
99/01/13,8229.25,8257.83,8194.81,8196.56
99/01/14,8245.86,8313.94,8237.67,8289.98
99/01/15,8340.6,8380.23,8325.82,8356.89
99/01/18,8290.38,8367.65,8290.38,8337.82
99/01/19,8387.66,8395.39,8227.3,8249.0
99/01/20,8309.19,8309.19,8191.44,8220.93
99/01/21,8189.5,8208.21,8107.55,8127.87
99/01/22,7986.43,8015.95,7912.85,7927.31
99/01/25,7845.3,7938.14,7828.34,7872.99
99/01/26,7903.03,7922.07,7572.58,7598.81
99/01/27,7639.72,7656.95,7530.41,7560.03
99/01/28,7630.16,7756.77,7607.56,7694.58
99/01/29,7593.38,7649.73,7481.9,7640.44
99/02/01,7653.89,7661.7,7493.81,7524.67
99/02/02,7633.74,7635.73,7398.8,7429.61
99/02/03,7523.79,7550.82,7441.92,7547.98
99/02/04,7563.19,7578.18,7504.96,7542.04
99/02/05,7323.16,7352.98,7196.39,7217.83
99/02/06,7244.71,7249.19,7080.9,7212.87
99/02/08,7236.63,7253.24,7173.18,7215.88
99/02/09,7225.71,7381.82,7197.13,7361.04
99/02/10,7438.12,7496.34,7404.97,7441.84
99/02/22,7619.87,7619.87,7553.29,7560.04
