0,1,2,3,4,5,6,7,8
2009/09/09(星期三),4080,20,3680,20.0,5910.0,80.0,4640.0,60.0
2009/09/10(星期四),4050,30,3650,30.0,5860.0,50.0,4600.0,40.0
2009/09/11(星期五),4060,10,3660,10.0,5900.0,40.0,4630.0,30.0
2009/09/12(星期六),4070,10,3670,10.0,6040.0,140.0,4740.0,110.0
2009/09/14(星期一),4070,0,3670,0.0,5970.0,70.0,4690.0,50.0
2009/09/15(星期二),4060,10,3660,10.0,6000.0,30.0,4710.0,20.0
2009/09/16(星期三),4090,30,3690,30.0,6060.0,60.0,4760.0,50.0
2009/09/17(星期四),4100,10,3700,10.0,6130.0,70.0,4810.0,50.0
2009/09/18(星期五),4090,10,3690,10.0,6060.0,70.0,4760.0,50.0
2009/09/19(星期六),4070,20,3670,20.0,6060.0,0.0,4760.0,0.0
2009/09/21(星期一),4060,10,3660,10.0,6040.0,20.0,4740.0,20.0
2009/09/22(星期二),4060,0,3660,0.0,6010.0,30.0,4720.0,20.0
2009/09/23(星期三),4100,40,3700,40.0,6080.0,70.0,4770.0,50.0
2009/09/24(星期四),4100,0,3700,0.0,6030.0,50.0,4730.0,40.0
2009/09/25(星期五),4050,50,3650,50.0,5930.0,100.0,4630.0,100.0
2009/09/26(星期六),4020,30,3620,30.0,5810.0,120.0,4560.0,70.0
2009/09/28(星期一),4030,10,3630,10.0,5840.0,30.0,4580.0,20.0
2009/09/29(星期二),4010,20,3610,20.0,5830.0,10.0,4580.0,0.0
2009/09/30(星期三),4010,0,3610,0.0,5790.0,40.0,4550.0,30.0
2009/10/01(星期四),4030,20,3630,20.0,5830.0,40.0,4580.0,30.0
2009/10/02(星期五),4030,0,3630,0.0,5810.0,20.0,4560.0,20.0
2009/10/03(星期六),4030,0,3630,0.0,5810.0,0.0,4560.0,0.0
2009/10/05(星期一),4030,0,3630,0.0,5820.0,10.0,4570.0,10.0
2009/10/06(星期二),4080,50,3680,50.0,5860.0,40.0,4600.0,30.0
2009/10/07(星期三),4130,50,3730,50.0,6000.0,140.0,4710.0,110.0
2009/10/08(星期四),4170,40,3770,40.0,6020.0,20.0,4730.0,20.0
2009/10/09(星期五),4180,10,3780,10.0,6030.0,10.0,4730.0,0.0
2009/10/10(星期六),4180,0,3780,0.0,6030.0,0.0,4730.0,0.0
2009/10/12(星期一),4190,10,3790,10.0,6040.0,10.0,4740.0,10.0
2009/10/13(星期二),4210,20,3810,20.0,6090.0,50.0,4780.0,40.0
2009/10/14(星期三),4250,40,3850,40.0,6170.0,80.0,4840.0,60.0
2009/10/15(星期四),4250,0,3850,0.0,6160.0,10.0,4840.0,0.0
2009/10/16(星期五),4230,20,3830,20.0,6120.0,40.0,4800.0,40.0
2009/10/17(星期六),4210,20,3810,20.0,6090.0,30.0,4780.0,20.0
2009/10/19(星期一),4220,10,3820,10.0,6080.0,10.0,4770.0,10.0
2009/10/20(星期二),4260,40,3860,40.0,6200.0,120.0,4870.0,100.0
2009/10/21(星期三),4230,30,3830,30.0,6140.0,60.0,4820.0,50.0
2009/10/22(星期四),4240,10,3840,10.0,6230.0,90.0,4890.0,70.0
2009/10/23(星期五),4260,20,3860,20.0,6230.0,0.0,4890.0,0.0
2009/10/24(星期六),4240,20,3840,20.0,6240.0,10.0,4840.0,50.0
2009/10/26(星期一),4250,10,3850,10.0,6170.0,70.0,4840.0,0.0
2009/10/27(星期二),4210,40,3810,40.0,6110.0,60.0,4800.0,40.0
2009/10/28(星期三),4210,0,3810,0.0,6030.0,80.0,4730.0,70.0
2009/10/29(星期四),4190,20,3790,20.0,6010.0,20.0,4720.0,10.0
2009/10/30(星期五),4230,40,3830,40.0,6070.0,60.0,4760.0,40.0
2009/10/31(星期六),4210,20,3810,20.0,6050.0,20.0,4750.0,10.0
2009/11/02(星期一),4230,20,3830,20.0,6050.0,0.0,4750.0,0.0
2009/11/03(星期二),4280,50,3880,50.0,6170.0,120.0,4840.0,90.0
2009/11/04(星期三),4350,70,3950,70.0,6220.0,50.0,4880.0,40.0
2009/11/05(星期四),4380,30,3980,30.0,6200.0,20.0,4870.0,10.0
2009/11/06(星期五),4380,0,3980,0.0,6220.0,20.0,4880.0,10.0
2009/11/07(星期六),4390,10,3990,10.0,6140.0,80.0,4820.0,60.0
2009/11/09(星期一),4400,10,4000,10.0,6180.0,40.0,4850.0,30.0
2009/11/10(星期二),4400,0,4000,0.0,6160.0,20.0,4840.0,10.0
2009/11/11(星期三),4420,20,4020,20.0,6190.0,30.0,4860.0,20.0
2009/11/12(星期四),4460,40,4060,40.0,6250.0,60.0,4910.0,50.0
2009/11/13(星期五),4410,50,4010,50.0,6150.0,100.0,4830.0,80.0
2009/11/14(星期六),4450,40,4050,40.0,6330.0,180.0,4970.0,140.0
2009/11/16(星期一),4470,20,4070,20.0,6330.0,0.0,4970.0,0.0
2009/11/17(星期二),4510,40,4110,40.0,6500.0,170.0,5100.0,130.0
2009/11/18(星期三),4520,10,4120,10.0,6550.0,50.0,5140.0,40.0
2009/11/19(星期四),4530,10,4130,10.0,6350.0,200.0,5250.0,110.0
2009/11/20(星期五),4550,20,4150,20.0,6350.0,0.0,5250.0,0.0
2009/11/21(星期六),4580,30,4180,30.0,6350.0,0.0,5250.0,0.0
2009/11/23(星期一),4630,50,4230,50.0,6350.0,0.0,5250.0,0.0
2009/11/24(星期二),4650,20,4250,20.0,6350.0,0.0,5250.0,0.0
2009/11/25(星期三),4690,40,4290,40.0,6350.0,0.0,5250.0,0.0
2009/11/26(星期四),4700,10,4300,10.0,6400.0,50.0,5300.0,50.0
2009/11/27(星期五),4440,260,4040,260.0,6400.0,0.0,5300.0,0.0
2009/11/28(星期六),4630,190,4230,190.0,6400.0,0.0,5300.0,0.0
2009/11/30(星期一),4650,20,4250,20.0,6400.0,0.0,5300.0,0.0
2009/12/01(星期二),4710,60,4310,60.0,6400.0,0.0,5300.0,0.0
2009/12/02(星期三),4780,70,4380,70.0,6400.0,0.0,5300.0,0.0
2009/12/03(星期四),4830,50,4430,50.0,6500.0,100.0,5400.0,100.0
2009/12/04(星期五),4780,50,4380,50.0,6500.0,0.0,5400.0,0.0
2009/12/05(星期六),4640,140,4240,140.0,6410.0,90.0,5330.0,70.0
2009/12/07(星期一),4560,80,4160,80.0,6300.0,110.0,5300.0,30.0
2009/12/08(星期二),4660,100,4260,100.0,6300.0,0.0,5300.0,0.0
2009/12/09(星期三),4550,110,4150,110.0,6200.0,100.0,5200.0,100.0
2009/12/10(星期四),4550,0,4150,0.0,6200.0,0.0,5200.0,0.0
2009/12/11(星期五),4550,0,4150,0.0,6200.0,0.0,5200.0,0.0
2009/12/12(星期六),4490,60,4090,60.0,6200.0,0.0,5200.0,0.0
2009/12/14(星期一),4520,30,4120,30.0,6200.0,0.0,5200.0,0.0
2009/12/15(星期二),4530,10,4130,10.0,6200.0,0.0,5200.0,0.0
2009/12/16(星期三),4520,10,4120,10.0,6200.0,0.0,5200.0,0.0
2009/12/17(星期四),4570,50,4170,50.0,6200.0,0.0,5200.0,0.0
2009/12/18(星期五),4480,90,4080,90.0,6200.0,0.0,5200.0,0.0
2009/12/19(星期六),4480,0,4080,0.0,6200.0,0.0,5200.0,0.0
2009/12/21(星期一),4500,20,4100,20.0,6200.0,0.0,5200.0,0.0
2009/12/22(星期二),4430,70,4030,70.0,6200.0,0.0,5200.0,0.0
2009/12/23(星期三),4410,20,4010,20.0,6200.0,0.0,5200.0,0.0
2009/12/24(星期四),4430,20,4030,20.0,6100.0,100.0,5100.0,100.0
2009/12/25(星期五),4440,10,4040,10.0,6100.0,0.0,5100.0,0.0
2009/12/28(星期一),4470,30,4070,30.0,6300.0,200.0,5300.0,200.0
2009/12/29(星期二),4440,30,4040,30.0,6300.0,0.0,5300.0,0.0
2009/12/30(星期三),4420,20,4020,20.0,6300.0,0.0,5300.0,0.0
2009/12/31(星期四),4420,0,4020,0.0,6300.0,0.0,5300.0,0.0
2010/01/01(星期五),4380,40,3980,40.0,6300.0,0.0,5300.0,0.0
2010/01/02(星期六),4380,0,3980,0.0,6300.0,0.0,5300.0,0.0
2010/01/04(星期一),4380,0,3980,0.0,6300.0,0.0,5300.0,0.0
2010/01/05(星期二),4440,60,4040,60.0,6300.0,0.0,5300.0,0.0
