日期,本益比,殖利率(%),股價淨值比,股利年度,財報年/季
098年12月11日,15.09,3.22,2.07,,
098年12月14日,15.09,3.22,2.07,,
098年12月15日,15.11,3.21,2.07,,
098年12月16日,14.76,3.29,2.02,,
098年12月17日,14.76,3.29,2.02,,
098年12月18日,14.66,3.31,2.01,,
098年12月21日,14.66,3.31,2.01,,
098年12月22日,14.72,3.3,2.02,,
098年12月23日,14.76,3.29,2.02,,
098年12月24日,14.8,3.28,2.03,,
098年12月25日,14.76,3.29,2.02,,
098年12月28日,14.8,3.28,2.03,,
098年12月29日,14.87,3.26,2.04,,
098年12月30日,14.85,3.27,2.04,,
098年12月31日,14.93,3.25,2.05,,
099年01月04日,14.85,3.27,2.04,,
099年01月05日,14.93,3.25,2.05,,
099年01月06日,14.89,3.26,2.04,,
099年01月07日,14.93,3.25,2.05,,
099年01月08日,15.01,3.23,2.06,,
099年01月11日,14.93,3.25,2.05,,
099年01月12日,14.82,3.28,2.03,,
099年01月13日,14.7,3.3,2.02,,
099年01月14日,14.72,3.3,2.02,,
099年01月15日,14.66,3.31,2.01,,
099年01月18日,14.64,3.32,2.01,,
099年01月19日,14.6,3.32,2.0,,
099年01月20日,14.49,3.35,1.99,,
099年01月21日,14.54,3.34,1.99,,
099年01月22日,14.29,3.4,1.96,,
099年01月25日,14.06,3.45,1.93,,
099年01月26日,13.42,3.62,1.84,,
099年01月27日,13.44,3.61,1.84,,
099年01月28日,13.61,3.57,1.87,,
099年01月29日,13.57,3.58,1.86,,
099年02月01日,13.44,3.61,1.84,,
099年02月02日,13.46,3.61,1.85,,
099年02月03日,13.4,3.62,1.84,,
099年02月04日,13.13,3.7,1.8,,
099年02月05日,12.6,3.85,1.73,,
099年02月06日,12.52,3.88,1.72,,
099年02月08日,12.31,3.94,1.69,,
099年02月09日,12.49,3.89,1.71,,
099年02月10日,12.68,3.83,1.74,,
099年02月22日,12.62,3.85,1.73,,
099年02月23日,12.54,3.87,1.72,,
099年02月24日,12.62,3.85,1.73,,
099年02月25日,12.62,3.85,1.73,,
099年02月26日,12.72,3.82,1.74,,
099年03月01日,12.72,3.82,1.74,,
099年03月02日,12.78,3.8,1.75,,
099年03月03日,12.78,3.8,1.75,,
099年03月04日,12.72,3.82,1.74,,
099年03月05日,12.76,3.81,1.75,,
099年03月08日,12.8,3.79,1.75,,
099年03月09日,13.24,3.67,1.82,,
099年03月10日,13.15,3.69,1.8,,
099年03月11日,13.13,3.7,1.8,,
099年03月12日,13.11,3.7,1.8,,
099年03月15日,12.99,3.74,1.78,,
099年03月16日,13.13,3.7,1.8,,
099年03月17日,13.2,3.68,1.81,,
099年03月18日,13.24,3.67,1.82,,
099年03月19日,13.2,3.68,1.81,,
099年03月22日,13.18,3.68,1.81,,
099年03月23日,13.3,3.65,1.82,,
099年03月24日,13.36,3.63,1.83,,
099年03月25日,13.48,3.6,1.85,,
099年03月26日,13.61,3.57,1.87,,
099年03月29日,13.79,3.52,1.89,,
099年03月30日,13.79,3.52,1.89,,
099年03月31日,13.61,3.57,1.87,,
099年04月01日,13.79,3.52,1.89,,
099年04月02日,13.88,3.5,1.9,,
099年04月06日,14.08,3.45,1.93,,
099年04月07日,14.25,3.41,1.95,,
099年04月08日,14.25,3.41,1.95,,
099年04月09日,14.39,3.37,1.97,,
099年04月12日,14.31,3.39,1.96,,
099年04月13日,14.04,3.46,1.92,,
099年04月14日,14.23,3.41,1.95,,
099年04月15日,14.27,3.4,1.96,,
099年04月16日,14.29,3.4,1.96,,
099年04月19日,13.9,3.49,1.91,,
099年04月20日,14.0,3.47,1.92,,
099年04月21日,14.39,3.37,1.97,,
099年04月22日,15.38,3.16,2.11,,
099年04月23日,16.02,3.03,2.2,,
099年04月26日,15.53,3.13,2.13,,
099年04月27日,15.51,3.13,2.13,,
099年04月28日,16.14,3.01,2.21,,
099年04月29日,16.95,2.86,2.25,,
099年04月30日,14.67,2.84,2.09,,
099年05月03日,10.89,2.95,2.01,,
099年05月04日,10.95,2.93,2.02,,
099年05月05日,10.4,3.09,1.92,,
099年05月06日,10.5,3.06,1.94,,
099年05月07日,10.42,3.08,1.92,,
099年05月10日,10.42,3.08,1.92,,
099年05月11日,10.3,3.12,1.9,,
099年05月12日,10.08,3.19,1.86,,
099年05月13日,10.23,5.03,1.89,,
099年05月14日,10.31,4.99,1.9,,
099年05月17日,10.22,5.03,1.89,,
099年05月18日,10.26,5.01,1.89,,
099年05月19日,10.15,5.06,1.88,,
099年05月20日,9.94,5.17,1.83,,
099年05月21日,9.86,5.22,1.82,,
099年05月24日,10.04,5.12,1.85,,
099年05月25日,9.69,5.31,1.79,,
099年05月26日,9.97,5.15,1.84,,
099年05月27日,9.94,5.17,1.83,,
099年05月28日,9.86,5.22,1.82,,
099年05月31日,10.03,5.13,1.85,,
099年06月01日,9.92,5.18,1.83,,
099年06月02日,9.83,5.23,1.82,,
099年06月03日,10.05,5.12,1.86,,
099年06月04日,10.03,5.13,1.85,,
099年06月07日,9.83,5.23,1.82,,
099年06月08日,9.82,5.24,1.81,,
099年06月09日,9.76,5.27,1.8,,
099年06月10日,9.94,5.17,1.83,,
099年06月11日,10.0,5.14,1.85,,
099年06月14日,10.13,5.08,1.87,,
099年06月15日,10.21,5.04,1.88,,
099年06月17日,10.13,5.08,1.87,,
099年06月18日,10.28,5.0,1.9,,
099年06月21日,10.5,4.9,1.94,,
099年06月22日,10.48,4.91,1.93,,
099年06月23日,10.48,4.91,1.93,,
099年06月24日,10.42,4.93,1.92,,
099年06月25日,10.35,4.97,1.91,,
099年06月28日,10.37,4.96,1.92,,
099年06月29日,10.23,5.03,1.89,,
099年06月30日,10.04,5.12,1.85,,
099年07月01日,10.12,5.08,1.87,,
099年07月02日,10.32,4.98,1.91,,
099年07月05日,10.31,4.99,1.9,,
099年07月06日,10.45,4.92,1.93,,
099年07月07日,10.77,4.77,1.99,,
099年07月08日,10.76,4.78,1.99,,
099年07月09日,10.72,4.8,1.98,,
099年07月12日,10.68,4.81,1.97,,
099年07月13日,10.22,5.03,1.89,,
099年07月14日,10.48,4.91,1.93,,
099年07月15日,10.55,4.87,1.95,,
099年07月16日,10.44,4.93,1.93,,
099年07月19日,10.4,4.94,1.92,,
099年07月20日,10.36,4.96,1.91,,
099年07月21日,10.26,5.01,1.89,,
099年07月22日,10.13,5.08,1.87,,
099年07月23日,10.21,5.04,1.88,,
099年07月26日,10.15,5.06,1.88,,
099年07月27日,10.17,5.06,1.88,,
099年07月28日,10.42,4.93,1.92,,
099年07月29日,10.36,4.96,1.91,,
099年07月30日,10.27,5.01,1.9,,
099年08月02日,10.48,4.91,1.93,,
099年08月03日,10.6,4.85,1.96,,
099年08月04日,10.55,4.87,1.95,,
099年08月05日,10.76,4.78,1.99,,
099年08月06日,10.81,4.76,2.0,,
099年08月09日,10.91,4.71,2.02,,
099年08月10日,11.32,4.54,2.09,,
099年08月11日,11.32,4.54,2.09,,
099年08月12日,11.3,4.55,2.09,,
099年08月13日,11.53,4.46,2.13,,
099年08月16日,11.38,4.52,2.1,,
099年08月17日,11.32,4.54,2.09,,
099年08月18日,11.44,4.49,2.11,,
099年08月19日,11.44,4.49,2.11,,
099年08月20日,11.4,4.51,2.11,,
099年08月23日,11.62,4.42,2.15,,
099年08月24日,11.59,4.43,2.14,,
099年08月25日,11.48,4.48,2.12,,
099年08月26日,11.57,4.44,2.14,,
099年08月27日,11.61,4.43,2.14,,
099年08月30日,11.59,4.43,2.21,,
099年08月31日,9.81,4.55,2.15,,
099年09月01日,10.09,4.42,2.21,,
099年09月02日,10.33,4.32,2.27,,
099年09月03日,10.32,4.32,2.27,,
099年09月06日,10.56,4.23,2.32,,
099年09月07日,10.6,4.21,2.33,,
099年09月08日,10.44,4.28,2.29,,
099年09月09日,10.09,4.42,2.21,,
099年09月10日,9.92,4.5,2.18,,
099年09月13日,10.04,4.44,2.2,,
099年09月14日,10.27,4.35,2.25,,
099年09月15日,10.25,4.36,2.25,,
099年09月16日,10.02,4.45,2.2,,
099年09月17日,10.01,4.46,2.2,,
099年09月20日,10.02,4.45,2.2,,
099年09月21日,10.04,4.44,2.2,,
099年09月23日,10.04,4.44,2.2,,
099年09月24日,10.01,4.46,2.2,,
099年09月27日,9.92,4.5,2.18,,
099年09月28日,9.92,4.5,2.18,,
099年09月29日,10.12,4.41,2.22,,
099年09月30日,9.98,4.47,2.19,,
099年10月01日,10.04,4.44,2.2,,
099年10月04日,10.54,4.24,2.31,,
099年10月05日,10.37,4.31,2.28,,
