3らRSI,5らRSI,7らRSI,10らRSI,RSI_up_thrend,RSI_down_thrend
90.9090909090909,3.701729447998105,7.284264036045629,3.225098274636356,1,0
100.0,79.5275590551181,4.751692846602585,84.79152440347455,2,0
7.5098814229249005,9.834469328140216,88.52601998732415,8.035386267848027,0,2
70.11494252873563,7.177511415525114,4.546689833244835,80.54660470912295,2,0
14.634146341463417,81.48306290919443,79.64381309371171,10.381987420138227,0,1
12.903225806451614,6.2653898768809855,10.998284400020513,1.938554920688568,1,0
64.28571428571428,73.69875633348688,74.45646715773361,0.020218057261737678,0,2
9.89010989010989,14.52015427663919,14.10699809620918,0.0028002237617851607,0,1
64.0,67.80168115116113,3.676680073738897,0.0008360018916699473,0,1
20.0,18.439440993788818,0.05986753650581905,92.1203808300581,2,0
60.46511627906976,6.551724137931034,0.011235739947229682,11.006512082417244,2,0
22.826086956521742,0.1558881168715482,0.004220237849160088,72.20083574135519,2,0
13.46153846153846,0.0383835060591106,87.64425207936797,1.7085874068930456,1,0
0.0,0.0,14.834644946493949,0.18701433819053956,0,0
0.0,80.87474120082815,65.2925357801122,81.6948343536693,0,1
0.0,19.09854851031322,2.5225345466158857,99.65632326935165,0,1
69.23076923076924,58.77742946708464,0.38174271464371407,15.286138856156278,2,0
27.77777777777778,3.7471896077941547,74.9097332887352,1.2934828871763222,1,0
53.84615384615385,0.7643312101910829,99.27311519223294,91.87184611914458,1,0
4.918032786885245,66.80161943319838,20.581415065630416,19.950166568777135,0,1
1.5624999999999996,98.5193676266896,2.5440345436031366,4.376572711615372,0,1
51.724137931034484,26.721513247392622,88.49178663619662,0.13581300293725476,1,0
96.80511182108627,4.72508591065292,25.835059048171377,0.01993202348439108,1,0
38.40304182509505,84.15912339209147,7.942191087302053,93.43128941179468,0,1
10.92150170648464,31.900289017341045,0.3894411180468128,12.39125566617415,0,1
74.33628318584071,13.125820363772736,0.07772239396303202,0.6753642447582512,2,0
40.77669902912622,1.0322200103221997,90.32760789464895,85.96751541166138,1,0
26.41509433962264,0.274294670846395,16.648177935548283,43.99263080185286,1,0
0.0,85.99339570720969,1.3403553588534909,90.47921969276723,0,1
0.0,21.450021450021453,80.79688608225565,99.72161737117126,0,3
76.27118644067798,2.5214321734745333,49.67869080004844,99.9663817749203,1,0
30.3030303030303,74.61214830397054,86.38567513609364,99.99819110084741,0,3
6.369426751592358,52.9137529137529,99.36471408082068,99.9997765926989,0,3
62.30769230769231,80.79847908745248,99.89420613273823,3.6637108669755505,0,2
54.00000000000001,98.56035437430785,99.99177962076651,0.8020364539843391,0,2
85.71428571428571,99.79287489643744,99.99890437116775,0.313029827288167,0,2
