DIF,MACD,MACD_buy,MACD_sell
7.6383902561318,6.484450977815968,0,0
8.950633809542637,6.024463118092843,0,0
9.808069998666326,5.682383561569946,0,0
10.18708026189455,5.29807804475631,0,0
10.739023103150998,5.015872928060439,0,0
11.440026175399794,4.732334070442588,0,0
11.481087897791497,4.731497530645931,0,0
11.162863581312706,4.683173027712353,0,0
10.785233801642448,4.753471903844763,0,0
10.439092027566744,4.673740956618196,0,0
9.692720642800055,4.73820624086614,0,0
8.930003411438975,4.6866269838281776,0,0
8.348426095607977,4.772207973585779,0,0
7.561053942011199,4.721304750474219,0,0
6.1533745177184755,4.878049291782098,0,0
4.928978241363524,4.890574871778896,0,0
4.643600037850604,5.083867337447676,0,1
4.720901312088984,5.145901639934682,0,0
4.814534555759252,5.285781621106112,0,0
4.62219684777827,5.274477278421431,0,0
4.602199309987583,5.333677162476599,0,0
4.547915917244012,5.3177322505572056,0,0
4.348842700800503,5.290239646204616,0,0
4.044224265255508,5.078066957107563,0,0
4.054777109119783,4.8370634185974435,0,0
3.8692677991557503,4.489840585223531,0,0
4.276210202813928,4.200028072164898,1,0
4.631599085987688,3.7820043131459316,0,0
5.094199455624164,3.428607269643276,0,0
5.101457389878334,3.023436076750654,0,0
5.507427227564534,2.644904728092299,0,0
6.276393424355774,2.2239020711349027,0,0
7.102944556633304,1.8156233412712361,0,0
7.430972444643686,1.4447766575911611,0,0
7.385204804327628,1.0153850943294307,0,0
7.3211856735339325,0.5238537591906238,0,0
7.285711282251384,-0.06175859640615511,0,0
6.816277258727041,-0.6523743237882548,0,0
6.563417435847185,-1.3190915171128084,0,0
6.22157209921366,-1.8827711427128448,0,0
5.962030275376549,-2.487348307986002,0,0
5.340403725309869,-2.9926950428709542,0,0
5.0165763290384575,-3.5516177494794334,0,0
5.128468251193311,-4.052951747351056,0,0
5.323959857271774,-4.599783390782985,0,0
5.228766091106138,-5.1480673408657855,0,0
4.967573086420458,-5.724006401650891,0,0
4.269212951910106,-6.33285267789849,0,0
3.3539356463799663,-6.90888336154102,0,0
2.5569244579195924,-7.4739521363092525,0,0
1.7697294579877223,-7.959813367532486,0,0
1.2483317750494507,-8.332545674351932,0,0
0.641044815734773,-8.748307459738088,0,0
0.3275106267078627,-9.038101419517146,0,0
-0.10289134731135618,-9.416682571101132,0,0
-0.40892599273496444,-9.741802504032561,0,0
-0.9844985620903799,-10.031186375102815,0,0
-1.7684548442554444,-10.212331476151766,0,0
-2.705163337575158,-10.311953120480748,0,0
-4.039577984138532,-10.318959562686448,0,0
-4.8058369987100775,-10.26264177176672,0,0
-5.51032269369108,-10.066064033444453,0,0
-6.074807014285909,-9.749331082106755,0,0
-6.223297081455485,-9.358070906938135,0,0
